"2020-07-30","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-2190","","","","","","","","","",""
"Testmozgás (kcal)","824","","","","","","","","","",""
"Fennmaradt (kcal)","431","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Fehèrje (Iso whey Zero)","1 adag","25","91","0.2","0","0.7","0","21.4","0","0.1"
"Reggeli","Tej laktózmentes","280 g","280","123","4.2","0","13.2","0","8.4","0","0.3"
"Reggeli","Magkeverék","10 g","10","60","5","0","1.4","0","2.3","0","0"
"Reggeli","3 grain flakes","55 g","55","189","1.9","0.3","39.2","1.5","5.9","5.6","0"
"Reggeli","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Reggeli","Almalé 100%","200 ml","200","90","0.2","0.2","21","20","0.2","0","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Reggeli","Mandulabél, pörkölt, sós","12 g","12","78","6.6","0","0.8","0","3.5","0","0"
"Ebéd","Görögsaláta feta sajttal","1 adag","420","262","15.5","0","14.3","0","12.2","0","0"
"Ebéd","Étcsoki Fin Carré","20 g","20","105","6.4","0","9.9","0","1.1","0","0"
"Vacsora","Gyros tál jázmin rizzsel","350 g","350","490","28","0","31.5","0","24.5","0","0"
"Vacsora","Zöldség saláta ","175 g","175","28","0.1","0","5.6","0","2.2","0","0"
"Vacsora","Óvatos Dubaj APA","315 ml","315","161","0","0","31.5","0","0","0","0"
"Vacsora","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Nassolnivalók","Fehèrje (Iso whey Zero)","1 adag","25","91","0.2","0","0.7","0","21.4","0","0.1"
"Nassolnivalók","Tej laktózmentes","280 g","280","123","4.2","0","13.2","0","8.4","0","0.3"
"Nassolnivalók","Meggysör","170 ml","170","95","0","0","13.6","0","0","0","0"
"Nassolnivalók","Búzasör","250 ml","250","120","2.5","0","2.5","0","2.5","0","0"
"Nassolnivalók","Napraforgómag, hántolt, pörkölt","10 g","10","63","5.2","0.7","1.9","0.3","2","0","1"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2190","82.3","1.2","201.2","21.8","116.4","5.6","1.9"
"Cél","","","","2621","84.6","0","319.7","0","127.9","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"calisthenics","3","0","71","","","","","","","",""
"calisthenics","1","0","21","","","","","","","",""
"calisthenics","7","0","147","","","","","","","",""
"Kerékpározás, átlagos","24","0","110","","","","","","","",""
"Kerékpározás, átlagos","7","0","31","","","","","","","",""
"Kerékpározás, átlagos","42","0","187","","","","","","","",""
"Kerékpározás, átlagos","12","0","53","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","4152","203","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","06:50","66.3","","","","","","","","",""
"Testtömegindex","06:50","23","","","","","","","","",""
