"2020-07-22","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-2842","","","","","","","","","",""
"Testmozgás (kcal)","1288","","","","","","","","","",""
"Fennmaradt (kcal)","232","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Multivitamin","100 ml","100","48","0.1","0","11.3","0","0.3","0","0"
"Reggeli","Laktózmentes trappista sajt","1 szelet","16","51","3.8","2.6","0.3","0.3","3.8","0","0.3"
"Reggeli","Multivitamin","100 ml","100","48","0.1","0","11.3","0","0.3","0","0"
"Reggeli","Kápia paprika","15 g","15","5","0","0","0.8","0","0.2","0","0"
"Reggeli","Enjoy free laktozmentes tej 1,8%","2 csésze","200","98","3.6","2.2","9.6","9.6","6.8","0","6.8"
"Reggeli","Kígyóuborka","35 g","35","5","0","0","1.3","0","0.2","0","0"
"Reggeli","Fürtös koktélparadicsom","2 db v. szelet","40","7","0.1","0","0.5","0","0.4","0","0"
"Reggeli","Natúr szalámi","5 szelet","10","46","4.2","0","0.4","0","2","0","0"
"Reggeli","Vaj","10 g","10","72","8.1","5.1","0","0","0.1","0","0"
"Reggeli","Zsemle","1 zsemle","28","76","1.8","0.4","12.9","0.5","2.4","1.1","0"
"Reggeli","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"Reggeli","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Ebéd","Halászlé","1 csésze","244","39","1.5","0.3","1","0.2","4.9","0","0"
"Ebéd","Fürtös koktélparadicsom","3 db v. szelet","60","11","0.1","0","0.8","0","0.5","0","0"
"Ebéd","Házi","50 g","50","83","2.5","0","10","0","4.5","0","0"
"Ebéd","Vanília sodo","30 g","30","29","1","0","3.5","2.8","1.5","0","0"
"Ebéd","Pirított szalonna","15 g","15","83","6.5","0","0.2","0","5.4","0","0"
"Ebéd","Túrós tészta","80 g","80","151","7.1","0","14.6","0","6.1","0","0"
"Ebéd","Harcsa, elkészítve ","50 g","50","72","3.6","0.8","0","0","9.2","0","0"
"Ebéd","Erdei gyümölcs","1 üveg","250","103","0","0","23.8","23.8","0","0","0"
"Ebéd","Petrezselymes Krumpli","100 g","100","194","4","0","32.8","0","4.3","3.7","0.2"
"Ebéd","Vajon Sült pisztráng","225 g","225","338","22.5","0","0","0","40.5","0","0"
"Ebéd","Zöldalma","1 db v. szelet","100","80","0","0","22","0","0","3.1","0"
"Ebéd","Citrom","70 g","70","20","0.2","0","6.5","1.8","0.8","2","0"
"Vacsora","Vaj","7 g","7","50","5.7","3.6","0","0","0.1","0","0"
"Vacsora","Baromfi párizsi","45 g","45","92","7.7","0","0.9","0","5","0","0"
"Vacsora","Magvas Bagett","40 g","40","86","1.1","0.1","12","1.2","5.1","3.7","0.3"
"Vacsora","Session ipa","165 ml","165","66","0","0","16.5","0","1.7","0","0"
"Vacsora","Zöldség saláta ","110 g","110","18","0.1","0","3.5","0","1.4","0","0"
"Vacsora","Mezes magvak","9 g","9","35","1.7","0","2.3","0","1.5","0","0"
"Vacsora","Tokaji furmint","500 ml","500","420","0","0","100","5","0.5","0","0"
"Vacsora","Light mozarella","40 g","40","66","3.4","0","0.6","0","8.2","0","0"
"Vacsora","Laktózmentes Natur joghurt","20 g","20","13","0.7","0.5","0.8","0.8","0.8","0","0"
"Vacsora","Czech Imported Lager","170 ml","170","70","0","0","5.1","0","0.9","0","0"
"Nassolnivalók","Protein vaníliás szelet","1 db v. szelet","60","224","9.6","5","18.6","12.6","15","3.8","0.1"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2842","101","20.8","334.5","65.3","134.8","18.9","7.7"
"Cél","","","","3074","99.2","0","374.9","0","150","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Séta, gyors tempóban (6 km/h)","40","0","265","","","","","","","",""
"Lépcsőzés, futva","10","0","166","","","","","","","",""
"Futás, átlagos tempóban","0","0","5","","","","","","","",""
"Futás, átlagos tempóban","1","0","15","","","","","","","",""
"Futás, átlagos tempóban","1","0","10","","","","","","","",""
"Futás, átlagos tempóban","7","0","59","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","17613","768","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
