"2020-08-06","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-2184","","","","","","","","","",""
"Testmozgás (kcal)","487","","","","","","","","","",""
"Fennmaradt (kcal)","99","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Laktózmentes tej","3 adag","300","132","4.5","3","14.1","14.1","9","0","0.4"
"Reggeli","Magkeverék","12 g","12","72","6","0","1.6","0","2.7","0","0"
"Reggeli","Fahéj","1 g","1","3","0","0","0.6","0","0","0.2","0"
"Reggeli","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Reggeli","Aprószemű zabpehely","50 g","50","186","3.5","0.7","29.4","0.4","6.8","5","0"
"Ebéd","Lecsó","175 g","175","163","14","0","15.8","0","5.3","0","0"
"Ebéd","Classic kávé","5 g","5","1","0","0","0.1","0","0.1","0","0"
"Ebéd","Étcsoki Fin Carré","10 g","10","52","3.2","0","5","0","0.5","0","0"
"Ebéd","Kuszkusz (főtt)","100 g","100","112","0.2","0","22.9","0","3.8","0","0"
"Ebéd","Szilva","100 g","100","46","0.3","0","11.4","9.9","0.7","1.4","0"
"Vacsora","Paté","35 g","35","83","6.3","0","1.4","0","4.6","0","0"
"Vacsora","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Vacsora","Baromfi párizsi","34 g","34","70","5.8","0","0.7","0","3.7","0","0"
"Vacsora","Tokaji furmint","375 ml","375","315","0","0","75","3.8","0.4","0","0"
"Vacsora","Szilva","50 g","50","23","0.1","0","5.7","5","0.4","0.7","0"
"Vacsora","Edámi sajt","17 g","17","58","4.4","3.1","0.2","0","4.4","0","0.3"
"Vacsora","Kígyóuborka","100 g","100","15","0.1","0","3.6","0","0.6","0","0"
"Vacsora","Fürtös koktélparadicsom","3 db v. szelet","60","11","0.1","0","0.8","0","0.5","0","0"
"Vacsora","Szilva","100 g","100","46","0.3","0","11.4","9.9","0.7","1.4","0"
"Vacsora","Zsúrvekni","75 g","75","215","1","0.2","43.5","1.1","6.7","0","1.1"
"Vacsora","Pisztácia","20 g","20","79","6.7","0","1.7","0","2.7","0","0"
"Nassolnivalók","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Nassolnivalók","Őszibarack","1 gyümölcs","100","59","0.3","0","14.3","0","1.4","0","0"
"Nassolnivalók","Fehèrje (Iso whey Zero)","1 adag","25","91","0.2","0","0.7","0","21.4","0","0.1"
"Nassolnivalók","Hántolt pörkölt sós napraforgóma","10 g","10","65","5.6","0.8","0.8","0.3","2.4","0","0.1"
"Nassolnivalók","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Nassolnivalók","100% Narancslé","200 g","200","90","0.4","0","18.8","18.8","1.4","0","0"
"Nassolnivalók","Mogyoró, pörkölt ","15 g","15","90","7.9","1.3","2.3","0.6","4.2","1.4","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2184","78.9","9","281.7","63.9","91.6","10.2","2"
"Cél","","","","2284","73.7","0","278.5","0","111.4","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Erősítés","7","0","46","","","","","","","",""
"calisthenics","8","0","165","","","","","","","",""
"Szex, aktív","20","0","62","","","","","","","",""
"Takarítás, házimunka","18","0","66","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","970","148","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","18:41","65.9","","","","","","","","",""
"Testtömegindex","18:41","23","","","","","","","","",""
