"2020-07-15","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-1960","","","","","","","","","",""
"Testmozgás (kcal)","344","","","","","","","","","",""
"Fennmaradt (kcal)","171","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Zabpehely","1 adag","40","149","2.8","0.5","23.5","0.3","5.4","4","0"
"Reggeli","Áfonya","24 g","24","11","0","0","2.9","1","0.1","1.1","0"
"Reggeli","Banán","77 g","77","69","0.3","0.1","17.6","9.4","0.8","2","0"
"Reggeli","Laktózmentes tej 1,5 %","175 ml","175","77","2.6","1.8","8.1","8.1","5.1","0","0.2"
"Reggeli","Eszpresszó kávé","100 ml","100","9","0.2","0.1","1.7","0","0.1","0","0"
"Reggeli","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"Reggeli","Magkeverék","10 g","10","60","5","0","1.4","0","2.3","0","0"
"Ebéd","Körte","150 g","150","68","0.5","0","16.4","0","0.5","0","2.7"
"Ebéd","Eszpresszó kávé","100 ml","100","9","0.2","0.1","1.7","0","0.1","0","0"
"Ebéd","Frikadell","100 g","100","285","15","3.8","12","1.5","11","0","2.1"
"Ebéd","Kuszkusz","100 g","100","349","2","0","71","10","11","0","0"
"Vacsora","Puffasztott    Barnarizs-szelet","17 g","17","66","0.5","0.1","13.6","0.1","1.5","0.4","0.1"
"Vacsora","Gyümölcs lekvár","3 g","3","8","0","0","2.1","1.5","0","0","0"
"Vacsora","Gofri","20 g","20","87","1.9","1.9","8","4.5","1.7","0.9","0.1"
"Vacsora","Kápia paprika","69 g","69","21","0.1","0","3.7","0","1","0","0"
"Vacsora","Citrom","25 g","25","7","0.1","0","2.3","0.6","0.3","0.7","0"
"Vacsora","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Vacsora","Vörös és fehér ribizli","38 g","38","21","0.1","0","5.2","2.8","0.5","1.6","0"
"Vacsora","Főtt tojás","90 g","90","152","10.4","0","0","0","12.1","0","0"
"Vacsora","Sárgabarack","90 g","90","43","0.4","0","10","8.3","1.3","1.8","0"
"Vacsora","Fürtös koktélparadicsom","53 g","53","10","0.1","0","0.7","0","0.5","0","0"
"Vacsora","Edámi sajt","17 g","17","58","4.4","3.1","0.2","0","4.4","0","0.3"
"Vacsora","Hónapos retek","17 g","17","3","0","0","0.6","0","0.1","0","0"
"Nassolnivalók","Nutridrink","1 palack","200","300","11.6","1.2","36.8","13.4","11.8","0","0"
"Nassolnivalók","Idared Alma","100 g","100","55","0","0","0","0","0","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1960","58.3","12.7","250","68.4","72.4","14.2","5.5"
"Cél","","","","2130","68.7","0","259.8","0","103.9","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Kerékpározás, átlagos","12","0","57","","","","","","","",""
"biking.utility","18","0","117","","","","","","","",""
"biking.utility","26","0","170","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","1779","0","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","08:32","66.8","","","","","","","","",""
"Testtömegindex","08:32","23","","","","","","","","",""
