"2020-07-23","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-1772","","","","","","","","","",""
"Testmozgás (kcal)","848","","","","","","","","","",""
"Fennmaradt (kcal)","862","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Reggeli","Citrom","10 g","10","3","0","0","0.9","0.3","0.1","0.3","0"
"Reggeli","Reggeli epres tekercs","0 adag","","171","4.6","2.2","25","7.5","5.9","1.9","0.4"
"Ebéd","Mezes magvak","11 g","11","43","2.1","0","2.8","0","1.8","0","0"
"Ebéd","Skyr Drink Peach & Passion Fruit","1 adag","330","175","0.7","0.3","16.2","14.9","24.4","0","0.3"
"Vacsora","Session ipa","1000 ml","1000","400","0","0","100","0","10","0","0"
"Vacsora","Tojás","1 tojás, egész","50","68","5","0","0.3","0","5.4","0","0"
"Vacsora","Grill&fun sertés mini grillkolbász","50 g","50","148","13","0","0.8","0","7","0","0"
"Vacsora","Zöldség saláta ","75 g","75","12","0.1","0","2.4","0","0.9","0","0"
"Vacsora","Olivabogyó (fekete)","70 g","70","92","9.1","0","0.4","0","0.8","0","0"
"Vacsora","Zottarella Light Mozarella","35 g","35","55","3","2","0.4","0.4","6.7","0","0.2"
"Vacsora","Szűztea Keksz","10 g","10","21","1.6","0.7","1.3","0","0.4","0.7","0.1"
"Vacsora","Bacon flavour snack","35 g","35","181","8.7","0.9","22.6","0.4","2.9","0","0.5"
"Vacsora","Almalé, préselt","250 ml","250","113","0.3","0","26","24.8","0.3","0","0"
"Nassolnivalók","Kávétejszín","1 adag","7.3","6","0.5","0.3","0.3","0.3","0.2","0","0"
"Nassolnivalók","Protein Strawberry","1 csomag","60","239","7.9","5.1","22.8","13.4","15","5.4","0.2"
"Nassolnivalók","Hosszú kávé","100 ml","100","3","0","0","0.5","0","0","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1772","56.5","11.5","233.3","68.8","82.5","9.9","1.8"
"Cél","","","","2634","85","0","321.3","0","128.5","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Futás, átlagos tempóban","4","0","34","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","18164","814","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
