"2020-07-25","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-2368","","","","","","","","","",""
"Testmozgás (kcal)","929","","","","","","","","","",""
"Fennmaradt (kcal)","347","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Reggeli","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"Reggeli","Citrom","15 g","15","4","0","0","1.4","0.4","0.2","0.4","0"
"Reggeli","Skyr drink Protein+++","1 palack","330","175","0.7","0.3","16.2","14.9","24.4","0","0.3"
"Reggeli","Tej 2,8% laktózmentes","250 ml","250","140","7","5","11.5","11.5","7.5","0","0.3"
"Reggeli","Aprószemű zabpehely","40 g","40","149","2.8","0.5","23.5","0.3","5.4","4","0"
"Reggeli","Sárgadinnye","50 g","50","17","0.1","0","4.1","3.9","0.4","0.5","0"
"Reggeli","Eszpresszó kávé","100 ml","100","9","0.2","0.1","1.7","0","0.1","0","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Ebéd","Juhtúrós Sztrapacska","15 g","15","29","1.6","0","2.7","0","0.9","0","0"
"Ebéd","Zöldalma","1 db v. szelet","100","80","0","0","22","0","0","3.1","0"
"Ebéd","Protein Bar Erdbeere","1 db v. szelet","45","175","5.3","3","13.6","0","22.5","0.5","0.2"
"Ebéd","Pirított szalonna","10 g","10","56","4.3","0","0.1","0","3.6","0","0"
"Ebéd","Provence serpenyős zöldség","200 g","200","100","3.2","0","12.2","0","3.2","0","1.6"
"Ebéd","Vanília sodo","30 g","30","29","1","0","3.5","2.8","1.5","0","0"
"Ebéd","Egészben sült süllő","500 g","500","465","6.1","0","0","0","95.7","0","0"
"Ebéd","Tokaji furmint","200 ml","200","168","0","0","40","2","0.2","0","0"
"Vacsora","Multivitamin","200 ml","200","96","0.2","0","22.6","0","0.6","0","0"
"Vacsora","Session ipa","165 ml","165","66","0","0","16.5","0","1.7","0","0"
"Vacsora","Világos sör","500 ml","500","170","0","0","14","3.5","1.5","0","0"
"Vacsora","Bacon flavour snack","12 g","12","62","3","0.3","7.7","0.1","1","0","0.2"
"Nassolnivalók","Tokaji furmint","100 ml","100","84","0","0","20","1","0.1","0","0"
"Nassolnivalók","Tokaji furmint","100 ml","100","84","0","0","20","1","0.1","0","0"
"Nassolnivalók","Zabszelet Toffee","40 g","40","193","9.6","0","24.8","0","2","1.6","0.4"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2368","47.1","9.3","278.1","41.4","172.6","10.1","3.1"
"Cél","","","","2715","87.6","0","331.1","0","132.4","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Evezés, átlagos tempóban","215","0","666","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","5647","263","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
