"2020-07-31","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-2187","","","","","","","","","",""
"Testmozgás (kcal)","496","","","","","","","","","",""
"Fennmaradt (kcal)","106","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Fehèrje (Iso whey Zero)","1 adag","25","91","0.2","0","0.7","0","21.4","0","0.1"
"Reggeli","3 grain flakes","55 g","55","189","1.9","0.3","39.2","1.5","5.9","5.6","0"
"Reggeli","Magkeverék","12 g","12","72","6","0","1.6","0","2.7","0","0"
"Reggeli","Classic kávé","7 g","7","1","0","0","0.1","0","0.1","0","0"
"Reggeli","Almalé","200 ml","200","78","1","0","18.4","0","1","0","0"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Reggeli","Tej laktózmentes","300 g","300","132","4.5","0","14.1","0","9","0","0.3"
"Ebéd","Citrom","8 g","8","2","0","0","0.7","0.2","0.1","0.2","0"
"Ebéd","Olivabogyó (fekete)","20 g","20","26","2.6","0","0.1","0","0.2","0","0"
"Ebéd","Étcsoki , egészmogyorós","17 g","17","100","7.5","3","5.8","5.1","1.5","0","0"
"Ebéd","Grapefruit Piros","70 g","70","29","0.1","0","7.5","4.8","0.5","1.1","0"
"Ebéd","Classic kávé","7 g","7","1","0","0","0.1","0","0.1","0","0"
"Ebéd","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Ebéd","Jégsaláta","2 csésze, aprított","114","16","0.2","0","3.4","2.2","1","1.4","0"
"Ebéd","Görög Joghurt","55 g","55","56","4.1","2.5","2.7","2.7","2","0","0"
"Ebéd","Fürtös koktélparadicsom","3 db v. szelet","60","11","0.1","0","0.8","0","0.5","0","0"
"Ebéd","Uborka","80 g","80","12","0.1","0","2.9","1.3","0.5","0.4","0"
"Ebéd","Zottarella Bazsalikomos","70 g","70","174","13.3","9","1.1","1.1","12.3","0","0.4"
"Vacsora","Natur Zitrone Grapefruit","1 doboz v. konzerv","500","120","0","0","27.5","0","1","0","0"
"Vacsora","Edámi sajt","12 g","12","41","3.1","2.2","0.2","0","3.1","0","0.2"
"Vacsora","Kápia paprika","35 g","35","11","0.1","0","1.9","0","0.5","0","0"
"Vacsora","Kígyóuborka","35 g","35","5","0","0","1.3","0","0.2","0","0"
"Vacsora","Fürtös koktélparadicsom","2 db v. szelet","40","7","0.1","0","0.5","0","0.4","0","0"
"Vacsora","Csirkemellsonka","15 g","15","15","0.6","0","0.3","0","2.1","0","0.3"
"Vacsora","Sertes majkrem","10 g","10","17","1.2","0","0.8","0","0.8","0","0.2"
"Vacsora","Gösser Natur Zitrone Mango","500 ml","500","125","0","0","28.5","24.5","0.5","0","0"
"Vacsora","Sokmagvas buci","2 food.serving.label.each","160","404","12.6","0","71.2","0","16","0","0"
"Vacsora","Sertes majkrem","10 g","10","17","1.2","0","0.8","0","0.8","0","0.2"
"Nassolnivalók","Nektarin","150 g","150","66","0.5","0","15.8","11.8","1.6","2.6","0"
"Nassolnivalók","Mogyoró, pörkölt ","25 g","25","150","13.1","2.2","3.8","1","7","2.4","0"
"Nassolnivalók","Banán","77 g","77","69","0.3","0.1","17.6","9.4","0.8","2","0"
"Nassolnivalók","Napraforgómag, hántolt, pörkölt","7 g","7","44","3.6","0.5","1.3","0.2","1.4","0","0.7"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2187","86","19.9","270.6","66","102.3","15.6","2.4"
"Cél","","","","2293","74","0","279.6","0","111.8","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"calisthenics","8","0","169","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","7250","327","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
