"2020-07-20","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-1802","","","","","","","","","",""
"Testmozgás (kcal)","1248","","","","","","","","","",""
"Fennmaradt (kcal)","1232","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Almalé 100%","100 ml","100","45","0.1","0.1","10.5","10","0.1","0","0"
"Reggeli","Citrom","15 g","15","4","0","0","1.4","0.4","0.2","0.4","0"
"Reggeli","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Reggeli","Tej 2,8%","200 ml","200","110","5.6","3.6","9.2","9.2","5.8","0","0.1"
"Reggeli","Szűztea Keksz","15 g","15","32","2.4","1.1","2","0","0.6","1.1","0.1"
"Reggeli","Szilva","1 gyümölcs","66","30","0.2","0","7.5","6.5","0.5","0.9","0"
"Reggeli","Almalé 100%","100 ml","100","45","0.1","0.1","10.5","10","0.1","0","0"
"Ebéd","Laktózmentes Natut Joghurt","30 g","30","18","0.8","0.5","1.5","1.5","1","0","0"
"Ebéd","Natúr szalámi","1 szelet","2","9","0.8","0","0.1","0","0.4","0","0"
"Ebéd","Natúr szalámi","1 szelet","2","9","0.8","0","0.1","0","0.4","0","0"
"Ebéd","Natúr szalámi","1 szelet","2","9","0.8","0","0.1","0","0.4","0","0"
"Ebéd","Vajas kenyér","1 szelet","18","49","0.9","0","2.7","0","0.4","0","0"
"Ebéd","Multivitamin gyümölcsital","100 ml","100","27","0","0","6.5","6.5","0.1","0","0"
"Ebéd","Zero","1 doboz v. konzerv","330","1","0","0","0","0","0","0","0.1"
"Ebéd","Zöld magozott olívabogyó","35 g","35","52","5.3","0.7","0","0","0","0","1.3"
"Ebéd","Csirke comb, elkészítve ","1 egész","34","69","3.6","1","0","0","8.6","0","0"
"Ebéd","Kacsacomb, sült","80 g","80","108","4.7","0","0.7","0","14.6","0","0"
"Ebéd","Lilahagyma","25 g","25","11","0","0","2.5","0","0.2","0","0"
"Ebéd","Fürtös koktélparadicsom","40 g","40","7","0.1","0","0.5","0","0.4","0","0"
"Ebéd","Kígyóuborka","45 g","45","7","0","0","1.6","0","0.3","0","0"
"Ebéd","Enjoy free laktozmentes tej 1,8%","2 csésze","200","98","3.6","2.2","9.6","9.6","6.8","0","6.8"
"Vacsora","Grill&fun sertés mini grillkolbász","1 food.serving.label.each","15","44","3.9","0","0.2","0","2.1","0","0"
"Vacsora","Napraforgó olaj","1 teáskanál","4.5","40","4.5","0.4","0","0","0","0","0"
"Vacsora","Piritós","1 szelet","22","64","0.9","0","12","0","2","0.6","0"
"Vacsora","Grill&Fun-Nürnbergi grillkolbász","1 db v. szelet","21.4","71","6.4","2.4","0.2","0.1","3","0","0.4"
"Vacsora","Citrom","10 g","10","3","0","0","0.9","0.3","0.1","0.3","0"
"Vacsora","Kacsacomb, sült","80 g","80","108","4.7","0","0.7","0","14.6","0","0"
"Vacsora","Grill&fun sertés mini grillkolbász","1 food.serving.label.each","15","44","3.9","0","0.2","0","2.1","0","0"
"Vacsora","Grill&Fun-Nürnbergi grillkolbász","1 db v. szelet","21.4","71","6.4","2.4","0.2","0.1","3","0","0.4"
"Vacsora","Grill&Fun-Nürnbergi grillkolbász","1 db v. szelet","21.4","71","6.4","2.4","0.2","0.1","3","0","0.4"
"Vacsora","Görögsaláta feta sajttal","300 g","300","187","11.1","0","10.2","0","8.7","0","0"
"Vacsora","Világos sör","200 ml","200","68","0","0","5.6","1.4","0.6","0","0"
"Vacsora","Világos sör","300 ml","300","102","0","0","8.4","2.1","0.9","0","0"
"Nassolnivalók","Protein Bar cookies&cream","1 db v. szelet","45","171","4.9","2.8","13.5","1","22.5","0.3","0.3"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1802","85.3","19.6","119.5","58.8","103.3","3.6","10"
"Cél","","","","3034","97.9","0","370","0","148","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Köredzés, erősítés","5","0","44","","","","","","","",""
"Lépcsőzés, futva","4","0","66","","","","","","","",""
"Lépcsőzés, gyors tempóban","22","0","214","","","","","","","",""
"Futás (11 km/h)","8","0","97","","","","","","","",""
"Futás, átlagos tempóban","1","0","8","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","17665","818","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
