"2020-07-26","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-1688","","","","","","","","","",""
"Testmozgás (kcal)","128","","","","","","","","","",""
"Fennmaradt (kcal)","227","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Aprószemű zabpehely","40 g","40","149","2.8","0.5","23.5","0.3","5.4","4","0"
"Reggeli","Enjoy free laktozmentes tej 1,8%","100 ml","100","49","1.8","1.1","4.8","4.8","3.4","0","3.4"
"Reggeli","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Reggeli","Eszpresszó kávé","100 ml","100","9","0.2","0.1","1.7","0","0.1","0","0"
"Reggeli","Tej 2,8% laktózmentes","150 ml","150","84","4.2","3","6.9","6.9","4.5","0","0.2"
"Ebéd","Gyros hús pácos","200 g","200","370","9.2","0","2","0","47.8","0","0"
"Ebéd","Zöldség saláta ","175 g","175","28","0.1","0","5.6","0","2.2","0","0"
"Vacsora","Olivabogyó (fekete)","30 g","30","40","3.9","0","0.2","0","0.3","0","0"
"Vacsora","Fit & snack puffasztott szelet","2 adag","18","71","0.9","0.2","13.8","0.1","1.6","0.5","0.2"
"Vacsora","Csirkemellsonka","40 g","40","41","1.6","0","0.8","0","5.6","0","0.8"
"Vacsora","Edámi sajt","30 g","30","103","7.8","5.4","0.4","0.1","7.8","0","0.5"
"Vacsora","Uborka, megpucolva","45 g","45","5","0.1","0","1","0.6","0.3","0.3","0"
"Vacsora","Flora original omega 3 és 6","1 adag","9","36","4.1","0.8","0","0","0","0","0"
"Vacsora","Kápia paprika","60 g","60","19","0.1","0","3.2","0","0.8","0","0"
"Vacsora","Fürtös koktélparadicsom","2 db v. szelet","50","9","0.1","0","0.7","0","0.5","0","0"
"Nassolnivalók","Földimogyoró","25 g","25","152","11.8","0","3.7","0","6.7","0","0"
"Nassolnivalók","Világos sör","500 ml","500","170","0","0","14","3.5","1.5","0","0"
"Nassolnivalók","Étcsoki Fin Carré","15 g","15","78","4.8","0","7.4","0","0.8","0","0"
"Nassolnivalók","Görög joghurt","50 g","50","63","5","0","2.5","0","1.9","0","0"
"Nassolnivalók","Világos sör","500 ml","500","170","0","0","14","3.5","1.5","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1688","58.6","11.2","116.8","26.7","93.5","6.4","5.1"
"Cél","","","","1915","61.8","0","233.5","0","93.4","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","2929","128","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
