"2020-08-07","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-2078","","","","","","","","","",""
"Testmozgás (kcal)","458","","","","","","","","","",""
"Fennmaradt (kcal)","177","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Aprószemű zabpehely","55 g","55","205","3.9","0.7","32.3","0.4","7.4","5.5","0"
"Reggeli","Magkeverék","20 g","20","121","10","0","2.7","0","4.5","0","0"
"Reggeli","Laktózmentes tej","2 adag","280","123","4.2","2.8","13.2","13.2","8.4","0","0.4"
"Reggeli","100% Narancslé","200 g","200","90","0.4","0","18.8","18.8","1.4","0","0"
"Ebéd","Étcsoki Fin Carré","10 g","10","52","3.2","0","5","0","0.5","0","0"
"Ebéd","Lecsó Kolbásszal","150 g","150","176","16.5","0","2.6","0","4","0.3","0"
"Ebéd","Kuszkusz (főtt)","145 g","145","162","0.3","0","33.2","0","5.5","0","0"
"Ebéd","Szilva","100 g","100","46","0.3","0","11.4","9.9","0.7","1.4","0"
"Vacsora","Hamburger","2 sajt- v. hamburger","220","559","27","8.3","54.6","0","25.8","0","0"
"Vacsora","Czech Imported Lager","250 ml","250","103","0","0","7.5","0","1.3","0","0"
"Vacsora","Fehèrje (Iso whey Zero)","1 adag","25","91","0.2","0","0.7","0","21.4","0","0.1"
"Vacsora","Őszibarack","1 gyümölcs","150","89","0.5","0","21.5","0","2.1","0","0"
"Nassolnivalók","Pisztácia","15 g","15","60","5","0","1.2","0","2","0","0"
"Nassolnivalók","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Nassolnivalók","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Nassolnivalók","Napraforgómag, hántolt, pörkölt","20 g","20","126","10.4","1.4","3.8","0.6","4","0","2"
"Nassolnivalók","Mogyoró, pörkölt ","10 g","10","60","5.3","0.9","1.5","0.4","2.8","0.9","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2078","89","14.1","210","43.3","91.9","8.1","2.5"
"Cél","","","","2255","72.7","0","275","0","110","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Kerékpározás, átlagos","12","0","56","","","","","","","",""
"Kerékpározás, átlagos","20","0","93","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","7556","309","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
