"2020-08-03","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-1736","","","","","","","","","",""
"Testmozgás (kcal)","116","","","","","","","","","",""
"Fennmaradt (kcal)","177","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Ebéd","Sertés pörkölt","160 g","160","216","19.2","0","1.6","0","11.2","0","0"
"Ebéd","Nokedli","70 g","70","150","2.4","0","26","0","5.5","0","0"
"Ebéd","Csemege uborka","35 g","35","12","0","0","2.4","2.1","0.2","0","0.5"
"Ebéd","Étcsoki Fin Carré","20 g","20","105","6.4","0","9.9","0","1.1","0","0"
"Ebéd","Classic kávé","5 g","5","1","0","0","0.1","0","0.1","0","0"
"Vacsora","Szilva","80 g","80","37","0.2","0","9.1","7.9","0.6","1.1","0"
"Vacsora","Császárzsemle","1 zsemle","44","148","3.7","0","23.2","0","4.5","0.4","0"
"Vacsora","Fit & snack puffasztott szelet","1 adag","9","36","0.5","0.1","6.9","0.1","0.8","0.2","0.1"
"Vacsora","Fürtös koktélparadicsom","2 db v. szelet","40","7","0.1","0","0.5","0","0.4","0","0"
"Vacsora","Session ipa","1 doboz v. konzerv","330","132","0","0","33","0","3.3","0","0"
"Vacsora","Epres Laktózmentes Ivójoghurt","500 g","500","275","3","2","54.5","47","7.5","0","0"
"Vacsora","Zottarella Bazsalikomos","60 g","60","149","11.4","7.7","0.9","0.9","10.5","0","0.4"
"Vacsora","Paté","15 g","15","35","2.7","0","0.6","0","2","0","0"
"Vacsora","Edámi sajt","25 g","25","86","6.5","4.5","0.4","0.1","6.5","0","0.4"
"Nassolnivalók","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Nassolnivalók","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Nassolnivalók","Almalé","200 ml","200","78","1","0","18.4","0","1","0","0"
"Nassolnivalók","Mogyoró, pörkölt ","15 g","15","90","7.9","1.3","2.3","0.6","4.2","1.4","0"
"Nassolnivalók","Banán","77 g","77","69","0.3","0.1","17.6","9.4","0.8","2","0"
"Nassolnivalók","Napraforgómag, hántolt, pörkölt","15 g","15","95","7.8","1.1","2.9","0.5","3","0","1.5"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1736","75","16.8","210.2","68.5","63","5.2","2.8"
"Cél","","","","1913","61.7","0","233.3","0","93.3","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","2092","116","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
